id,flightId,time,atmoTemp,temperature,humidity,pressure,accelX,accelY,accelZ,rollDeg,pitchDeg,yawDeg,flightTimeMin
5322,3,2023-03-07 20:18:37,8.1,8.2,28.3,1001.0,-0.05406,-0.96539,0.11405,278.1,5.7,173.8,0.0
5323,3,2023-03-07 20:18:38,8.1,8.2,28.4,1001.1,-0.08417,-0.98782,0.116,277.7,6.2,173.5,0.016666699999859702
5324,3,2023-03-07 20:18:39,8.1,8.3,28.5,1001.1,-0.08343,-0.98444,0.11429,276.9,5.9,172.9,0.03333339999994678
5325,3,2023-03-07 20:18:39,8.1,8.2,28.4,1001.0,-0.08664,-0.98758,0.1216,276.9,5.6,172.6,0.03333339999994678
5326,3,2023-03-07 20:18:40,8.1,8.2,28.3,1001.0,-0.07948,-0.98661,0.12648,277.5,5.1,173.2,0.050000100000033854
5327,3,2023-03-07 20:18:40,8.1,8.2,28.1,1001.1,-0.0901,-0.98179,0.13135,277.9,4.9,173.8,0.050000100000033854
5328,3,2023-03-07 20:18:41,8.2,8.1,28.4,1001.1,-0.09108,-1.00061,0.14329,276.7,5.3,172.2,0.06666679999989356
5329,3,2023-03-07 20:18:42,8.2,8.1,28.4,1001.1,-0.09355,-0.98758,0.1372,277.3,4.6,172.3,0.08333349999998063
5330,3,2023-03-07 20:18:42,8.1,8.2,28.3,1001.1,-0.09799,-0.98903,0.13988,278.3,4.2,174.1,0.08333349999998063
5331,3,2023-03-07 20:18:43,8.1,8.3,28.4,1001.1,-0.08442,-0.98686,0.13623,278.0,3.8,174.4,0.10000020000006771
5332,3,2023-03-07 20:18:43,8.1,8.2,28.1,1001.1,-0.08146,-0.97841,0.13306,278.1,3.6,174.9,0.10000020000006771
5333,3,2023-03-07 20:18:44,8.1,8.1,28.3,1001.1,-0.07232,-0.97841,0.13818,277.7,3.7,173.2,0.11666689999992741
5334,3,2023-03-07 20:18:45,8.1,8.2,28.5,1001.1,-0.08368,-0.9678,0.12916,277.7,4.2,173.0,0.13333360000001448
5335,3,2023-03-07 20:18:45,8.1,8.2,28.4,1001.1,-0.07504,-0.97986,0.13281,276.9,4.3,170.6,0.13333360000001448
5336,3,2023-03-07 20:18:46,8.1,8.1,28.1,1001.1,-0.09947,-0.97696,0.13428,276.6,4.4,170.0,0.1500002999998742
5337,3,2023-03-07 20:18:46,8.1,8.2,28.4,1001.1,-0.08343,-0.98951,0.13208,276.2,4.4,169.2,0.1500002999998742
5338,3,2023-03-07 20:18:47,8.1,8.2,28.2,1001.1,-0.08639,-0.98034,0.12916,276.1,4.3,168.6,0.16666699999996126
5339,3,2023-03-07 20:18:48,8.1,8.1,28.1,1001.1,-0.08096,-0.9719,0.13233,277.3,3.4,170.2,0.18333370000004834
5340,3,2023-03-07 20:18:48,8.1,8.2,28.1,1001.1,-0.09799,-0.98082,0.1372,277.1,3.9,169.6,0.18333370000004834
5341,3,2023-03-07 20:18:49,8.1,8.0,28.2,1001.1,-0.09972,-0.98541,0.1333,277.3,4.0,169.5,0.20000039999990804
5342,3,2023-03-07 20:18:49,8.1,8.2,28.4,1001.1,-0.08763,-0.98589,0.13403,277.1,4.1,168.9,0.20000039999990804
5343,3,2023-03-07 20:18:50,8.1,8.1,28.3,1001.1,-0.09528,-0.98637,0.14086,277.2,4.0,168.3,0.21666709999999512
5344,3,2023-03-07 20:18:51,8.1,8.2,28.4,1001.1,-0.0933,-0.97359,0.13623,277.6,4.1,167.7,0.23333379999985482
5345,3,2023-03-07 20:18:51,8.1,8.1,28.3,1001.1,-0.0901,-0.98878,0.14914,277.4,3.8,166.5,0.23333379999985482
5346,3,2023-03-07 20:18:52,8.1,8.2,28.3,1001.1,-0.0938,-0.98637,0.13696,277.4,3.9,167.0,0.2500004999999419
5347,3,2023-03-07 20:18:52,8.0,8.1,28.1,1001.1,-0.09947,-0.983,0.13574,277.7,4.1,167.6,0.2500004999999419
5348,3,2023-03-07 20:18:53,8.0,8.1,27.6,1001.1,-0.08812,-0.97383,0.14208,277.3,3.8,166.5,0.26666720000002897
5349,3,2023-03-07 20:18:54,8.0,8.0,28.1,1001.1,-0.08343,-0.98227,0.1355,276.8,4.0,166.2,0.28333389999988867
5350,3,2023-03-07 20:18:54,8.0,8.1,28.1,1001.1,-0.11799,-0.99964,0.14817,276.4,3.1,163.5,0.28333389999988867
5351,3,2023-03-07 20:18:55,8.0,8.0,28.3,1001.1,-0.1091,-0.97166,0.16328,276.7,4.4,162.5,0.30000059999997575
5352,3,2023-03-07 20:18:55,8.0,8.1,28.5,1001.1,-0.11206,-0.96949,0.13623,274.5,2.1,158.8,0.30000059999997575
